Analog Input 11715,Object name,0454_VV-02-10:AUX TEMP,,
Analog Input 11715,Present value,58,,
Analog Input 11715,Units,degrees fahrenheit,,
Analog Input 11735,Object name,0454_VV-02-10:AIR VOLUME,,
Analog Input 11735,Present value,80,,
Analog Input 11735,Units,,,
Analog Input 11804,Object name,0454_VV-02-11:ROOM TEMP,,
Analog Input 11804,Present value,69.5,,
Analog Input 11804,Units,degrees fahrenheit,,
Analog Input 11813,Object name,0454_VV-02-11:RM STPT DIAL,,
Analog Input 11813,Present value,55.5,,
Analog Input 11813,Units,degrees fahrenheit,,
Analog Input 11815,Object name,0454_VV-02-11:AUX TEMP,,
Analog Input 11815,Present value,57,,
Analog Input 11815,Units,degrees fahrenheit,,
Analog Input 11835,Object name,0454_VV-02-11:AIR VOLUME,,
Analog Input 11835,Present value,180,,
Analog Input 11835,Units,,,
Analog Input 11904,Object name,0454_FVV-02-01:ROOM TEMP,,
Analog Input 11904,Present value,70,,
Analog Input 11904,Units,degrees fahrenheit,,
Analog Input 11913,Object name,0454_FVV-02-01:RM STPT DIAL,,
Analog Input 11913,Present value,54.75,,
Analog Input 11913,Units,degrees fahrenheit,,
Analog Input 11915,Object name,0454_FVV-02-01:AUX TEMP,,
Analog Input 11915,Present value,63,,
Analog Input 11915,Units,degrees fahrenheit,,
Analog Input 11935,Object name,0454_FVV-02-01:AIR VOLUME,,
Analog Input 11935,Present value,516,,
Analog Input 11935,Units,,,
Analog Input 12,Object name,0454_AHU02.CHW.RT,,
Analog Input 12,Present value,56.58749,,
Analog Input 12,Units,degrees fahrenheit,,
Analog Input 12004,Object name,0454_FVV-02-02:ROOM TEMP,,
Analog Input 12004,Present value,68.25,,
Analog Input 12004,Units,degrees fahrenheit,,
Analog Input 12013,Object name,0454_FVV-02-02:RM STPT DIAL,,
Analog Input 12013,Present value,71,,
Analog Input 12013,Units,degrees fahrenheit,,
Analog Input 12015,Object name,0454_FVV-02-02:AUX TEMP,,
Analog Input 12015,Present value,55.5,,
Analog Input 12015,Units,degrees fahrenheit,,
Analog Input 12035,Object name,0454_FVV-02-02:AIR VOLUME,,
Analog Input 12035,Present value,1940,,
Analog Input 12035,Units,,,
Analog Input 12104,Object name,0454_FVV-02-04:ROOM TEMP,,
Analog Input 12104,Present value,67.25,,
Analog Input 12104,Units,degrees fahrenheit,,
Analog Input 12113,Object name,0454_FVV-02-04:RM STPT DIAL,,
Analog Input 12113,Present value,56,,
Analog Input 12113,Units,degrees fahrenheit,,
Analog Input 12115,Object name,0454_FVV-02-04:AUX TEMP,,
Analog Input 12115,Present value,55.5,,
Analog Input 12115,Units,degrees fahrenheit,,
Analog Input 12135,Object name,0454_FVV-02-04:AIR VOLUME,,
Analog Input 12135,Present value,1972,,
Analog Input 12135,Units,,,
Analog Input 12204,Object name,0454_FVV-02-05:ROOM TEMP,,
Analog Input 12204,Present value,70,,
Analog Input 12204,Units,degrees fahrenheit,,
Analog Input 12213,Object name,0454_FVV-02-05:RM STPT DIAL,,
Analog Input 12213,Present value,57.25,,
Analog Input 12213,Units,degrees fahrenheit,,
Analog Input 12215,Object name,0454_FVV-02-05:AUX TEMP,,
Analog Input 12215,Present value,72,,
Analog Input 12215,Units,degrees fahrenheit,,
Analog Input 12235,Object name,0454_FVV-02-05:AIR VOLUME,,
Analog Input 12235,Present value,588,,
Analog Input 12235,Units,,,
Analog Input 12304,Object name,0454_FVV-02-06:ROOM TEMP,,
Analog Input 12304,Present value,71.75,,
Analog Input 12304,Units,degrees fahrenheit,,
Analog Input 12313,Object name,0454_FVV-02-06:RM STPT DIAL,,
Analog Input 12313,Present value,55,,
Analog Input 12313,Units,degrees fahrenheit,,
Analog Input 12315,Object name,0454_FVV-02-06:AUX TEMP,,
Analog Input 12315,Present value,57,,
Analog Input 12315,Units,degrees fahrenheit,,
Analog Input 12335,Object name,0454_FVV-02-06:AIR VOLUME,,
Analog Input 12335,Present value,584,,
Analog Input 12335,Units,,,
Analog Input 12404,Object name,0454_FVV-02-07:ROOM TEMP,,
Analog Input 12404,Present value,74,,
Analog Input 12404,Units,degrees fahrenheit,,
Analog Input 12413,Object name,0454_FVV-02-07:RM STPT DIAL,,
Analog Input 12413,Present value,54.75,,
Analog Input 12413,Units,degrees fahrenheit,,
Analog Input 12415,Object name,0454_FVV-02-07:AUX TEMP,,
Analog Input 12415,Present value,56.5,,
Analog Input 12415,Units,degrees fahrenheit,,
Analog Input 12435,Object name,0454_FVV-02-07:AIR VOLUME,,
Analog Input 12435,Present value,140,,
Analog Input 12435,Units,,,
Analog Input 12503,Object name,0454_AHU02.SFVFD:FREQ OUTPUT,,
Analog Input 12503,Present value,34.569996,,
Analog Input 12503,Units,hertz,,
Analog Input 12504,Object name,0454_AHU02.SFVFD:PCT OUTPUT,,
Analog Input 12504,Present value,57.409996,,
Analog Input 12504,Units,percent,,
Analog Input 12505,Object name,0454_AHU02.SFVFD:SPEED,,
Analog Input 12505,Present value,1033,,
Analog Input 12505,Units,revolutions per minute,,
Analog Input 12506,Object name,0454_AHU02.SFVFD:CURRENT,,
Analog Input 12506,Present value,11.9,,
Analog Input 12506,Units,,,
Analog Input 12507,Object name,0454_AHU02.SFVFD:TORQUE,,
Analog Input 12507,Present value,31.6,,
Analog Input 12507,Units,percent,,
Analog Input 12508,Object name,0454_AHU02.SFVFD:POWER,,
Analog Input 12508,Present value,3.5,,
Analog Input 12508,Units,kilowatts,,
Analog Input 12509,Object name,0454_AHU02.SFVFD:DRIVE TEMP,,
Analog Input 12509,Present value,41,,
Analog Input 12509,Units,degrees fahrenheit,,
Analog Input 12510,Object name,0454_AHU02.SFVFD:DRIVE KWH,,
Analog Input 12510,Present value,399.9,,
Analog Input 12510,Units,,,
Analog Input 12511,Object name,0454_AHU02.SFVFD:DRIVE MWH,,
Analog Input 12511,Present value,41,,
Analog Input 12511,Units,,,
